counter,date_time,latitude,longitude,temperature,humidity,pressure,pitch,roll,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,motion_detected,humans_detected
48009,2023-05-12 15:34:19,-51.63358754,-55.22150739,38.90301514,24.28900146,1003.334473,336.3252939,66.37708292,304.1796028,0.01707999967,0.03806399927,0.01683599874,0.001073446125,-0.002859123051,-0.0003418549895,3.86070323,3.469134569,-2.857309818,0,0
48010,2023-05-12 15:34:19,-51.63402701,-55.21348781,39.06303787,24.64085388,1003.339111,336.4000503,66.43528296,304.2506436,0.01683599874,0.03806399927,0.01805599965,0.001684334129,0.001111015677,0.001490522176,3.813588619,3.503057241,-2.941665411,0,0
48011,2023-05-12 15:34:19,-51.63452104,-55.20445953,38.45851135,24.75100136,1003.341309,336.4704679,66.41008639,304.2424167,0.01805599965,0.03660000116,0.01634800062,0.0007681883872,-0.001332387328,-0.001869043335,3.871449947,3.588244677,-2.685737133,0,0
48012,2023-05-12 15:34:19,-51.63499017,-55.19587316,38.1740303,24.57966232,1003.346191,336.4116822,66.42138353,304.1277651,0.01781199872,0.03806399927,0.01610399969,-0.0007591582835,-0.001026712358,0.000268895179,3.69364357,3.643941402,-3.368066788,0,0
48013,2023-05-12 15:34:19,-51.63557164,-55.18521321,38.56519318,24.85808754,1003.348877,336.3720875,66.61417245,303.7779911,0.01854399964,0.03733199835,0.01512799971,-0.001980662346,0.001721970737,0.001795632765,3.509426355,3.3058424,-3.135217428,0,0
48014,2023-05-12 15:34:19,-51.63621684,-55.17336184,39.02747726,23.9952774,1003.355469,336.336854,66.6795237,303.5311242,0.01951999962,0.03855200112,0.01415199973,-0.00167471543,0.0005000159144,-0.0006475094706,3.665636778,3.355636597,-2.918306828,0,0
48015,2023-05-12 15:34:19,-51.63685134,-55.16168353,39.06303787,24.74488068,1003.348145,336.2992436,66.78542578,303.4562209,0.01854399964,0.03733199835,0.01659199968,0.0007685162127,-0.0007218644023,-0.0003421660513,3.662029982,3.198341608,-3.48641777,0,0
48016,2023-05-12 15:34:19,-51.63749103,-55.14988561,39.06303787,24.20944977,1003.3479,336.1961538,66.8587342,303.1942661,0.01610399969,0.03733199835,0.01415199973,-0.001674458385,-0.001943349838,0.002101024613,3.639465332,3.274394512,-3.817902327,0,0
48017,2023-05-12 15:34:20,-51.63814489,-55.13780165,38.79633331,24.9437561,1003.358643,336.2431063,66.82045099,302.9601852,0.01805599965,0.03830799833,0.01610399969,-0.0001468881965,0.001110523939,0.0008790474385,3.723534107,3.220028162,-4.46416378,0,0
48018,2023-05-12 15:34:20,-51.63881894,-55.12531779,38.49407196,24.70816612,1003.357178,336.2079018,66.91460515,302.6120812,0.01781199872,0.0378200002,0.01634800062,0.001380350441,-0.000111348927,0.0002679917961,3.55071497,3.265081406,-4.06888485,0,0
